campaign_id,tipo_campaña,fecha_inicio,fecha_fin,presupuesto,clicks,conversiones,channel_id,customer_id,canal,costo_por_click,equipo_responsable,edad,genero,pais,segmento,fecha_registro
298,Google Ads,2023-10-25,2023-11-03,970.56,1622,57,1,352.0,Email,0.1,Equipo A,51.0,F,México,Básico,2022-01-08
299,Email,2023-10-26,2023-11-04,3363.94,1408,92,4,118.0,Instagram Ads,500.0,Equipo C,39.0,M,Argentina,Básico,2022-02-07
300,SEO,2023-10-27,2023-11-05,3679.14,141,125,1,235.0,Email,0.1,Equipo A,66.0,F,Chile,Básico,2022-11-01
301,Email,2023-10-28,2023-11-06,642.14,1603,17,5,322.0,,,,,,,,
302,Email,2023-10-29,2023-11-07,4712.96,1939,93,5,102.0,,,,,,,,
303,Google Ads,2023-10-30,2023-11-08,733.87,112,129,1,335.0,Email,0.1,Equipo A,51.0,F,Chile,Básico,2022-08-20
304,Redes Sociales,2023-10-31,2023-11-09,2935.83,1735,122,4,564.0,Instagram Ads,500.0,Equipo C,51.0,M,Chile,Básico,2022-07-18
305,Redes Sociales,2023-11-01,2023-11-10,3690.77,561,-1,1,327.0,Email,0.1,Equipo A,30.0,M,Argentina,Básico,2022-02-26
306,Email,2023-11-02,2023-11-11,4419.36,1212,189,6,598.0,Influencers,1.2,Equipo D,55.0,F,España,Básico,2022-10-10
308,Redes Sociales,2023-11-04,2023-11-13,4107.78,1258,122,5,238.0,,,,,,,,
309,SEO,2023-11-05,2023-11-14,2027.53,1278,8,2,375.0,Facebook Ads,0.5,Equipo B,60.0,M,Chile,Premium,2023-12-12
310,Redes Sociales,2023-11-06,2023-11-15,4166.71,821,79,6,390.0,Influencers,1.2,Equipo D,35.0,F,Chile,Premium,2023-03-21
311,SEO,2023-11-07,2023-11-16,860.52,1287,53,6,152.0,Influencers,1.2,Equipo D,32.0,M,Chile,Premium,2023-04-26
312,Google Ads,2023-11-08,2023-11-17,4526.67,305,11,5,209.0,,,,45.0,M,México,Básico,2023-04-17
313,SEO,2023-11-09,2023-11-18,2964.17,184,114,5,103.0,,,,38.0,F,España,Básico,2022-06-17
314,Google Ads,2023-11-10,2023-11-19,4177.84,1646,126,6,146.0,Influencers,1.2,Equipo D,,,,,
315,Google Ads,2023-11-11,2023-11-20,2535.43,924,15,3,193.0,,,,,,,,
317,Google Ads,2023-11-13,2023-11-22,2868.81,137,186,2,312.0,Facebook Ads,0.5,Equipo B,19.0,M,España,Premium,2022-03-13
318,Email,2023-11-14,2023-11-23,3792.15,1909,177,3,535.0,,,,28.0,M,México,Básico,2023-07-13
320,Redes Sociales,2023-11-16,2023-11-25,771.58,1280,32,2,304.0,Facebook Ads,0.5,Equipo B,59.0,F,Chile,Básico,2023-09-23
321,SEO,2023-11-17,2023-11-26,1611.96,1202,115,1,480.0,Email,0.1,Equipo A,36.0,M,Argentina,Premium,2023-04-09
322,Email,2023-11-18,2023-11-27,1217.95,872,61,6,172.0,Influencers,1.2,Equipo D,26.0,M,Chile,Premium,2023-11-27
324,Redes Sociales,2023-11-20,2023-11-29,1486.46,1023,157,3,175.0,,,,,,,,
325,Redes Sociales,2023-11-21,2023-11-30,4891.39,983,58,2,176.0,Facebook Ads,0.5,Equipo B,46.0,F,Colombia,Premium,2022-06-24
326,Redes Sociales,2023-11-22,2023-12-01,2016.03,1827,-1,4,509.0,Instagram Ads,500.0,Equipo C,,,,,
327,Google Ads,2023-11-23,2023-12-02,1319.53,170,101,2,205.0,Facebook Ads,0.5,Equipo B,,,,,
329,SEO,2023-11-25,2023-12-04,3464.18,1687,18,5,575.0,,,,46.0,M,España,Básico,2022-06-02
330,SEO,2023-11-26,2023-12-05,2741.88,1111,82,1,374.0,Email,0.1,Equipo A,44.0,F,Chile,Premium,2022-02-16
331,Email,2023-11-27,2023-12-06,2999.14,1414,39,3,187.0,,,,59.0,F,México,Básico,2022-10-16
332,Email,2023-11-28,2023-12-07,3736.41,1057,34,5,176.0,,,,46.0,F,Colombia,Premium,2022-06-24
333,SEO,2023-11-29,2023-12-08,1528.05,974,96,4,176.0,Instagram Ads,500.0,Equipo C,46.0,F,Colombia,Premium,2022-06-24
334,Google Ads,2023-11-30,2023-12-09,4983.5,694,21,5,541.0,,,,61.0,F,Chile,Premium,2023-07-19
336,SEO,2023-12-02,2023-12-11,3426.47,909,162,4,344.0,Instagram Ads,500.0,Equipo C,,,,,
338,Google Ads,2023-12-04,2023-12-13,3561.03,291,177,3,481.0,,,,41.0,M,México,Premium,2022-05-21
340,SEO,2023-12-06,2023-12-15,637.94,1012,114,2,241.0,Facebook Ads,0.5,Equipo B,48.0,M,España,Premium,2023-12-22
341,Google Ads,2023-12-07,2023-12-16,1659.57,670,183,5,467.0,,,,50.0,M,Argentina,Premium,2023-05-10
342,SEO,2023-12-08,2023-12-17,2581.8,352,106,3,183.0,,,,,,,,
343,Google Ads,2023-12-09,2023-12-18,4407.23,1669,110,2,242.0,Facebook Ads,0.5,Equipo B,23.0,F,España,Premium,2022-05-24
344,Redes Sociales,2023-12-10,2023-12-19,3772.26,1668,51,2,451.0,Facebook Ads,0.5,Equipo B,49.0,F,Chile,Básico,2023-10-20
346,Google Ads,2023-12-12,2023-12-21,2414.72,1013,68,3,251.0,,,,22.0,F,Argentina,Básico,2023-11-09
347,Google Ads,2023-12-13,2023-12-22,2056.71,118,170,6,257.0,Influencers,1.2,Equipo D,,,,,
348,SEO,2023-12-14,2023-12-23,2169.67,1202,68,5,545.0,,,,25.0,M,Chile,Premium,2022-09-21
349,SEO,2023-12-15,2023-12-24,4944.42,245,91,4,402.0,Instagram Ads,500.0,Equipo C,38.0,M,Colombia,Básico,2022-08-20
350,Google Ads,2023-12-16,2023-12-25,680.49,189,11,2,549.0,Facebook Ads,0.5,Equipo B,,,,,
351,SEO,2023-12-17,2023-12-26,4401.64,1517,26,5,323.0,,,,59.0,M,México,Premium,2023-11-16
352,Email,2023-12-18,2023-12-27,3104.04,332,85,2,142.0,Facebook Ads,0.5,Equipo B,,,,,
353,Email,2023-12-19,2023-12-28,2473.77,361,-1,3,363.0,,,,,,,,
355,SEO,2023-12-21,2023-12-30,2690.01,1608,142,5,367.0,,,,66.0,M,Argentina,Premium,2022-04-24
357,Redes Sociales,2023-12-23,2024-01-01,4553.16,326,139,5,115.0,,,,66.0,F,España,Premium,2022-03-07
358,SEO,2023-12-24,2024-01-02,2397.74,110,-1,2,433.0,Facebook Ads,0.5,Equipo B,,,,,
359,Email,2023-12-25,2024-01-03,1745.73,1392,54,3,563.0,,,,53.0,F,Argentina,Premium,2023-06-06
360,Google Ads,2023-12-26,2024-01-04,3165.58,1963,56,4,158.0,Instagram Ads,500.0,Equipo C,33.0,M,Chile,Premium,2022-10-11
361,SEO,2023-12-27,2024-01-05,4605.64,101,165,6,276.0,Influencers,1.2,Equipo D,25.0,F,Argentina,Premium,2022-09-04
362,Email,2023-12-28,2024-01-06,1447.98,1929,5,3,162.0,,,,31.0,M,España,Premium,2023-01-14
364,Redes Sociales,2023-12-30,2024-01-08,3342.02,1822,192,4,406.0,Instagram Ads,500.0,Equipo C,,,,,
365,Google Ads,2023-12-31,2024-01-09,3799.01,1384,-1,3,345.0,,,,,,,,
366,Google Ads,2024-01-01,2024-01-10,1092.05,1887,8,1,388.0,Email,0.1,Equipo A,59.0,F,Colombia,Básico,2022-02-15
367,Redes Sociales,2024-01-02,2024-01-11,3721.21,593,149,6,431.0,Influencers,1.2,Equipo D,60.0,F,Colombia,Premium,2023-04-07
369,Google Ads,2024-01-04,2024-01-13,1308.57,1937,175,3,354.0,,,,42.0,M,Chile,Premium,2022-08-05
371,SEO,2024-01-06,2024-01-15,4871.28,1621,5,1,562.0,Email,0.1,Equipo A,33.0,M,México,Básico,2022-07-28
372,SEO,2024-01-07,2024-01-16,1314.4,671,75,5,298.0,,,,42.0,F,Chile,Premium,2022-11-11
373,Redes Sociales,2024-01-08,2024-01-17,4344.73,1250,182,6,370.0,Influencers,1.2,Equipo D,,,,,
375,Email,2024-01-10,2024-01-19,1612.54,363,39,2,163.0,Facebook Ads,0.5,Equipo B,,,,,
376,SEO,2024-01-11,2024-01-20,4418.37,856,12,3,329.0,,,,45.0,M,Argentina,Básico,2022-03-08
377,SEO,2024-01-12,2024-01-21,2503.87,897,156,4,348.0,Instagram Ads,500.0,Equipo C,32.0,F,Chile,Básico,2022-09-25
378,Email,2024-01-13,2024-01-22,2816.68,146,40,3,345.0,,,,,,,,
380,Email,2024-01-15,2024-01-24,3168.28,1286,127,3,256.0,,,,23.0,M,Chile,Básico,2023-11-12
382,Redes Sociales,2024-01-17,2024-01-26,2259.87,186,31,3,187.0,,,,59.0,F,México,Básico,2022-10-16
383,SEO,2024-01-18,2024-01-27,4862.36,1079,36,3,412.0,,,,45.0,M,México,Premium,2022-03-06
384,Email,2024-01-19,2024-01-28,1661.6,1060,82,4,165.0,Instagram Ads,500.0,Equipo C,65.0,F,España,Premium,2023-10-24
385,Email,2024-01-20,2024-01-29,3455.31,158,125,1,119.0,Email,0.1,Equipo A,43.0,F,Colombia,Premium,2023-05-17
386,SEO,2024-01-21,2024-01-30,1963.36,596,150,1,132.0,Email,0.1,Equipo A,20.0,F,Chile,Premium,2022-02-26
388,Google Ads,2024-01-23,2024-02-01,1088.93,711,-1,6,172.0,Influencers,1.2,Equipo D,26.0,M,Chile,Premium,2023-11-27
389,Email,2024-01-24,2024-02-02,4864.19,474,20,4,442.0,Instagram Ads,500.0,Equipo C,33.0,M,México,Básico,2022-06-11
390,Email,2024-01-25,2024-02-03,2542.05,679,103,3,232.0,,,,32.0,M,Colombia,Premium,2022-05-12
391,Google Ads,2024-01-26,2024-02-04,1562.23,310,-1,3,154.0,,,,37.0,M,México,Premium,2023-02-07
392,Google Ads,2024-01-27,2024-02-05,830.74,1499,191,2,160.0,Facebook Ads,0.5,Equipo B,51.0,M,Chile,Básico,2022-01-09
394,SEO,2024-01-29,2024-02-07,2838.98,514,8,6,371.0,Influencers,1.2,Equipo D,,,,,
395,Google Ads,2024-01-30,2024-02-08,2016.51,125,169,4,345.0,Instagram Ads,500.0,Equipo C,,,,,
396,SEO,2024-01-31,2024-02-09,4229.98,520,21,5,275.0,,,,55.0,M,Chile,Premium,2022-04-14
397,SEO,2024-02-01,2024-02-10,2438.99,463,43,2,416.0,Facebook Ads,0.5,Equipo B,,,,,
398,Redes Sociales,2024-02-02,2024-02-11,1619.21,874,52,5,230.0,,,,25.0,F,Colombia,Básico,2023-03-04
399,SEO,2024-02-03,2024-02-12,3277.15,944,178,1,201.0,Email,0.1,Equipo A,,,,,
400,Email,2024-02-04,2024-02-13,3680.5,775,180,2,409.0,Facebook Ads,0.5,Equipo B,19.0,M,Argentina,Premium,2023-04-08
401,SEO,2024-02-05,2024-02-14,1251.69,506,-1,2,391.0,Facebook Ads,0.5,Equipo B,67.0,F,Argentina,Básico,2023-09-14
402,SEO,2024-02-06,2024-02-15,1254.29,1358,136,4,594.0,Instagram Ads,500.0,Equipo C,66.0,M,Chile,Premium,2022-03-17
403,Google Ads,2024-02-07,2024-02-16,665.02,1312,34,6,460.0,Influencers,1.2,Equipo D,64.0,M,Argentina,Premium,2023-12-26
404,Email,2024-02-08,2024-02-17,3813.81,1750,162,5,437.0,,,,,,,,
406,SEO,2024-02-10,2024-02-19,2635.84,702,70,2,109.0,Facebook Ads,0.5,Equipo B,,,,,
407,Redes Sociales,2024-02-11,2024-02-20,4298.77,721,112,4,148.0,Instagram Ads,500.0,Equipo C,62.0,F,Chile,Premium,2022-10-31
408,SEO,2024-02-12,2024-02-21,4125.52,1631,16,4,586.0,Instagram Ads,500.0,Equipo C,,,,,
409,SEO,2024-02-13,2024-02-22,3134.09,1445,40,6,420.0,Influencers,1.2,Equipo D,,,,,
411,Google Ads,2024-02-15,2024-02-24,1426.29,1697,94,1,232.0,Email,0.1,Equipo A,32.0,M,Colombia,Premium,2022-05-12
413,Redes Sociales,2024-02-17,2024-02-26,1713.87,1118,5,1,182.0,Email,0.1,Equipo A,24.0,F,España,Básico,2022-06-22
414,Email,2024-02-18,2024-02-27,756.89,1474,131,3,156.0,,,,19.0,M,Argentina,Básico,2023-08-10
415,Google Ads,2024-02-19,2024-02-28,2890.26,1320,190,2,475.0,Facebook Ads,0.5,Equipo B,40.0,F,México,Básico,2023-06-23
417,Email,2024-02-21,2024-03-01,677.05,646,-1,6,370.0,Influencers,1.2,Equipo D,,,,,
418,Redes Sociales,2024-02-22,2024-03-02,1049.49,499,94,2,582.0,Facebook Ads,0.5,Equipo B,57.0,F,Chile,Premium,2023-10-08
419,SEO,2024-02-23,2024-03-03,2534.9,534,138,5,210.0,,,,62.0,F,España,Básico,2022-12-05
421,Redes Sociales,2024-02-25,2024-03-05,1922.7,669,48,5,257.0,,,,,,,,
423,Redes Sociales,2024-02-27,2024-03-07,687.08,1679,90,6,428.0,Influencers,1.2,Equipo D,31.0,F,España,Básico,2023-02-13
424,Google Ads,2024-02-28,2024-03-08,1167.54,711,23,4,221.0,Instagram Ads,500.0,Equipo C,35.0,F,Argentina,Básico,2023-12-24
425,SEO,2024-02-29,2024-03-09,4939.84,807,105,2,140.0,Facebook Ads,0.5,Equipo B,,,,,
426,Email,2024-03-01,2024-03-10,4843.03,338,150,5,266.0,,,,,,,,
427,Email,2024-03-02,2024-03-11,522.23,1487,99,6,122.0,Influencers,1.2,Equipo D,,,,,
428,SEO,2024-03-03,2024-03-12,4783.15,770,105,3,378.0,,,,34.0,F,Chile,Premium,2023-07-03
429,Email,2024-03-04,2024-03-13,3376.04,687,34,1,568.0,Email,0.1,Equipo A,40.0,M,España,Básico,2023-01-28
430,SEO,2024-03-05,2024-03-14,4405.63,284,174,5,499.0,,,,,,,,
431,Email,2024-03-06,2024-03-15,2546.33,465,37,3,108.0,,,,37.0,F,Argentina,Básico,2023-05-05
432,Redes Sociales,2024-03-07,2024-03-16,2820.18,987,16,4,112.0,Instagram Ads,500.0,Equipo C,69.0,M,Colombia,Premium,2023-12-13
433,Email,2024-03-08,2024-03-17,2699.81,548,122,5,151.0,,,,,,,,
434,SEO,2024-03-09,2024-03-18,3500.89,1023,98,3,308.0,,,,,,,,
436,SEO,2024-03-11,2024-03-20,634.88,1723,171,2,501.0,Facebook Ads,0.5,Equipo B,,,,,
437,SEO,2024-03-12,2024-03-21,1885.68,1069,141,6,290.0,Influencers,1.2,Equipo D,49.0,F,México,Básico,2023-07-04
438,SEO,2024-03-13,2024-03-22,3671.06,164,-1,3,150.0,,,,23.0,M,Colombia,Premium,2022-07-26
439,Google Ads,2024-03-14,2024-03-23,1408.34,981,80,6,492.0,Influencers,1.2,Equipo D,22.0,M,España,Premium,2023-09-06
440,Google Ads,2024-03-15,2024-03-24,3530.45,723,33,2,399.0,Facebook Ads,0.5,Equipo B,54.0,F,Argentina,Premium,2022-01-22
441,Email,2024-03-16,2024-03-25,4864.6,1786,165,2,295.0,Facebook Ads,0.5,Equipo B,63.0,F,Chile,Básico,2022-11-04
442,SEO,2024-03-17,2024-03-26,922.55,1307,194,6,516.0,Influencers,1.2,Equipo D,22.0,F,Argentina,Básico,2022-07-04
443,Email,2024-03-18,2024-03-27,3526.71,1613,121,3,519.0,,,,57.0,M,México,Premium,2023-12-24
445,SEO,2024-03-20,2024-03-29,4406.64,255,6,6,455.0,Influencers,1.2,Equipo D,53.0,M,México,Premium,2022-11-29
446,Google Ads,2024-03-21,2024-03-30,1297.17,1752,184,1,247.0,Email,0.1,Equipo A,32.0,M,México,Básico,2023-01-01
447,Google Ads,2024-03-22,2024-03-31,3616.82,296,121,3,464.0,,,,,,,,
448,Redes Sociales,2024-03-23,2024-04-01,4271.52,1632,176,1,463.0,Email,0.1,Equipo A,52.0,F,Chile,Premium,2022-05-25
449,Google Ads,2024-03-24,2024-04-02,4750.76,807,186,5,501.0,,,,,,,,
450,Redes Sociales,2024-03-25,2024-04-03,3574.62,1200,22,6,591.0,Influencers,1.2,Equipo D,44.0,F,México,Premium,2022-07-03
451,Redes Sociales,2024-03-26,2024-04-04,2737.29,196,7,5,328.0,,,,,,,,
454,Redes Sociales,2024-03-29,2024-04-07,3067.74,1455,170,5,367.0,,,,66.0,M,Argentina,Premium,2022-04-24
455,Email,2024-03-30,2024-04-08,636.74,461,-1,4,504.0,Instagram Ads,500.0,Equipo C,38.0,M,México,Básico,2022-02-26
456,Google Ads,2024-03-31,2024-04-09,4689.27,1737,190,2,110.0,Facebook Ads,0.5,Equipo B,66.0,M,Chile,Premium,2022-04-13
457,Redes Sociales,2024-04-01,2024-04-10,3602.87,1657,165,6,419.0,Influencers,1.2,Equipo D,51.0,M,Argentina,Premium,2023-04-27
459,Google Ads,2024-04-03,2024-04-12,1470.54,1582,191,1,405.0,Email,0.1,Equipo A,,,,,
461,Redes Sociales,2024-04-05,2024-04-14,2272.39,1248,-1,1,188.0,Email,0.1,Equipo A,59.0,F,México,Premium,2022-09-15
462,Email,2024-04-06,2024-04-15,3430.55,1362,15,6,454.0,Influencers,1.2,Equipo D,26.0,F,Chile,Básico,2022-03-30
463,Redes Sociales,2024-04-07,2024-04-16,979.67,1007,72,2,451.0,Facebook Ads,0.5,Equipo B,49.0,F,Chile,Básico,2023-10-20
464,Email,2024-04-08,2024-04-17,3460.3,1554,127,2,113.0,Facebook Ads,0.5,Equipo B,56.0,F,Colombia,Básico,2022-02-11
465,SEO,2024-04-09,2024-04-18,4997.36,68,117,5,356.0,,,,23.0,M,México,Premium,2022-10-19
466,Google Ads,2024-04-10,2024-04-19,716.95,244,102,6,308.0,Influencers,1.2,Equipo D,,,,,
467,SEO,2024-04-11,2024-04-20,4897.28,379,97,4,380.0,Instagram Ads,500.0,Equipo C,49.0,M,España,Premium,2022-05-10
468,Email,2024-04-12,2024-04-21,2331.09,224,26,4,542.0,Instagram Ads,500.0,Equipo C,23.0,F,México,Premium,2022-10-08
469,Email,2024-04-13,2024-04-22,4418.39,1051,198,5,488.0,,,,49.0,M,Colombia,Premium,2023-02-27
470,SEO,2024-04-14,2024-04-23,4020.73,498,176,6,582.0,Influencers,1.2,Equipo D,57.0,F,Chile,Premium,2023-10-08
471,Email,2024-04-15,2024-04-24,3051.57,1998,131,5,246.0,,,,54.0,F,México,Básico,2022-02-26
472,SEO,2024-04-16,2024-04-25,3823.02,995,138,6,378.0,Influencers,1.2,Equipo D,34.0,F,Chile,Premium,2023-07-03
474,SEO,2024-04-18,2024-04-27,2318.63,1572,29,5,533.0,,,,69.0,M,España,Premium,2023-03-21
475,Google Ads,2024-04-19,2024-04-28,1971.65,190,189,6,243.0,Influencers,1.2,Equipo D,66.0,M,Chile,Premium,2022-09-08
476,SEO,2024-04-20,2024-04-29,3504.17,807,-1,4,388.0,Instagram Ads,500.0,Equipo C,59.0,F,Colombia,Básico,2022-02-15
477,Email,2024-04-21,2024-04-30,4135.31,1970,59,6,485.0,Influencers,1.2,Equipo D,,,,,
478,SEO,2024-04-22,2024-05-01,3930.28,979,148,6,113.0,Influencers,1.2,Equipo D,56.0,F,Colombia,Básico,2022-02-11
479,Email,2024-04-23,2024-05-02,4090.16,142,-1,5,356.0,,,,23.0,M,México,Premium,2022-10-19
480,SEO,2024-04-24,2024-05-03,2460.12,288,146,1,445.0,Email,0.1,Equipo A,,,,,
481,SEO,2024-04-25,2024-05-04,4180.25,254,171,1,444.0,Email,0.1,Equipo A,45.0,F,Argentina,Premium,2023-03-25
482,Redes Sociales,2024-04-26,2024-05-05,1040.94,609,160,1,499.0,Email,0.1,Equipo A,,,,,
483,Email,2024-04-27,2024-05-06,2950.2,1506,183,1,306.0,Email,0.1,Equipo A,,,,,
484,Redes Sociales,2024-04-28,2024-05-07,525.91,294,123,3,271.0,,,,,,,,
485,Email,2024-04-29,2024-05-08,1960.64,881,-1,5,563.0,,,,53.0,F,Argentina,Premium,2023-06-06
486,Redes Sociales,2024-04-30,2024-05-09,2149.08,1390,-1,2,369.0,Facebook Ads,0.5,Equipo B,67.0,M,España,Premium,2023-02-03
487,Google Ads,2024-05-01,2024-05-10,2282.78,974,190,5,320.0,,,,24.0,F,España,Básico,2022-08-27
489,Email,2024-05-03,2024-05-12,2248.51,689,154,1,282.0,Email,0.1,Equipo A,66.0,F,España,Básico,2022-07-12
490,Email,2024-05-04,2024-05-13,2519.12,905,164,3,498.0,,,,,,,,
491,SEO,2024-05-05,2024-05-14,1568.95,1355,46,4,171.0,Instagram Ads,500.0,Equipo C,65.0,F,Argentina,Básico,2023-04-10
492,Email,2024-05-06,2024-05-15,2179.63,66,57,4,517.0,Instagram Ads,500.0,Equipo C,,,,,
493,Email,2024-05-07,2024-05-16,1522.71,120,191,5,382.0,,,,68.0,M,Colombia,Premium,2023-01-24
494,Redes Sociales,2024-05-08,2024-05-17,829.38,1342,78,5,173.0,,,,,,,,
495,Email,2024-05-09,2024-05-18,3215.52,1398,43,2,454.0,Facebook Ads,0.5,Equipo B,26.0,F,Chile,Básico,2022-03-30
496,Google Ads,2024-05-10,2024-05-19,3506.96,1867,126,2,596.0,Facebook Ads,0.5,Equipo B,58.0,M,Chile,Premium,2023-08-05
497,Google Ads,2024-05-11,2024-05-20,3287.71,354,-1,4,427.0,Instagram Ads,500.0,Equipo C,,,,,
500,SEO,2024-05-14,2024-05-23,4385.0,1387,115,2,546.0,Facebook Ads,0.5,Equipo B,,,,,
501,Google Ads,2024-05-15,2024-05-24,2835.87,866,135,6,472.0,Influencers,1.2,Equipo D,,,,,
502,Email,2024-05-16,2024-05-25,2656.32,1176,87,2,461.0,Facebook Ads,0.5,Equipo B,,,,,
503,Email,2024-05-17,2024-05-26,615.39,870,14,1,192.0,Email,0.1,Equipo A,43.0,M,Colombia,Básico,2022-08-19
504,SEO,2024-05-18,2024-05-27,2035.62,242,96,1,420.0,Email,0.1,Equipo A,,,,,
505,Google Ads,2024-05-19,2024-05-28,2210.88,1826,33,5,423.0,,,,65.0,M,España,Premium,2023-07-20
506,Email,2024-05-20,2024-05-29,2294.7,1647,39,3,483.0,,,,29.0,F,Chile,Básico,2023-04-01
509,SEO,2024-05-23,2024-06-01,3235.57,1610,115,2,202.0,Facebook Ads,0.5,Equipo B,31.0,F,Colombia,Premium,2023-10-09
510,Redes Sociales,2024-05-24,2024-06-02,3941.97,300,42,4,314.0,Instagram Ads,500.0,Equipo C,51.0,M,Colombia,Básico,2023-04-02
511,Email,2024-05-25,2024-06-03,4158.44,1838,81,1,291.0,Email,0.1,Equipo A,48.0,M,Chile,Premium,2023-07-10
512,Redes Sociales,2024-05-26,2024-06-04,3731.55,1460,97,6,293.0,Influencers,1.2,Equipo D,33.0,F,Argentina,Premium,2023-03-14
513,Google Ads,2024-05-27,2024-06-05,4799.86,1280,151,5,479.0,,,,,,,,
514,Redes Sociales,2024-05-28,2024-06-06,582.05,590,71,3,502.0,,,,,,,,
516,Google Ads,2024-05-30,2024-06-08,534.03,465,12,5,110.0,,,,66.0,M,Chile,Premium,2022-04-13
517,SEO,2024-05-31,2024-06-09,3413.64,843,126,2,286.0,Facebook Ads,0.5,Equipo B,,,,,
518,Redes Sociales,2024-06-01,2024-06-10,4541.14,1453,88,6,114.0,Influencers,1.2,Equipo D,58.0,M,Chile,Básico,2022-05-27
519,SEO,2024-06-02,2024-06-11,1595.67,1217,179,5,396.0,,,,66.0,M,España,Premium,2023-01-20
520,Redes Sociales,2024-06-03,2024-06-12,4671.66,74,136,2,510.0,Facebook Ads,0.5,Equipo B,,,,,
522,Google Ads,2024-06-05,2024-06-14,4704.96,717,89,2,151.0,Facebook Ads,0.5,Equipo B,,,,,
523,Redes Sociales,2024-06-06,2024-06-15,2082.3,1146,199,2,127.0,Facebook Ads,0.5,Equipo B,65.0,M,España,Premium,2022-04-07
525,Redes Sociales,2024-06-08,2024-06-17,2686.42,1897,140,4,116.0,Instagram Ads,500.0,Equipo C,59.0,M,Colombia,Básico,2022-07-12
526,Google Ads,2024-06-09,2024-06-18,1655.49,1906,91,6,450.0,Influencers,1.2,Equipo D,64.0,M,España,Básico,2022-08-07
527,Google Ads,2024-06-10,2024-06-19,1781.93,1166,20,5,527.0,,,,32.0,M,Argentina,Premium,2023-05-18
528,Redes Sociales,2024-06-11,2024-06-20,1882.8,554,81,4,328.0,Instagram Ads,500.0,Equipo C,,,,,
529,Redes Sociales,2024-06-12,2024-06-21,4113.62,1671,199,4,309.0,Instagram Ads,500.0,Equipo C,32.0,F,Chile,Premium,2022-05-17
530,Redes Sociales,2024-06-13,2024-06-22,2926.23,385,13,1,530.0,Email,0.1,Equipo A,55.0,M,Chile,Básico,2023-03-01
531,Email,2024-06-14,2024-06-23,1900.88,474,64,1,393.0,Email,0.1,Equipo A,,,,,
533,Email,2024-06-16,2024-06-25,3722.68,1437,-1,3,203.0,,,,34.0,M,Argentina,Premium,2022-07-21
534,Email,2024-06-17,2024-06-26,1726.81,996,75,1,303.0,Email,0.1,Equipo A,,,,,
535,Google Ads,2024-06-18,2024-06-27,2360.97,679,19,5,152.0,,,,32.0,M,Chile,Premium,2023-04-26
536,Redes Sociales,2024-06-19,2024-06-28,1048.49,1818,75,4,474.0,Instagram Ads,500.0,Equipo C,59.0,F,Chile,Premium,2022-05-10
537,SEO,2024-06-20,2024-06-29,1315.17,1272,106,5,153.0,,,,60.0,F,Argentina,Básico,2023-10-12
538,Google Ads,2024-06-21,2024-06-30,3565.03,767,173,6,375.0,Influencers,1.2,Equipo D,60.0,M,Chile,Premium,2023-12-12
539,Email,2024-06-22,2024-07-01,1316.47,1486,26,1,434.0,Email,0.1,Equipo A,25.0,M,Colombia,Premium,2023-11-03
540,Redes Sociales,2024-06-23,2024-07-02,2863.24,388,156,3,130.0,,,,,,,,
541,Google Ads,2024-06-24,2024-07-03,3690.71,708,117,6,234.0,Influencers,1.2,Equipo D,45.0,F,Chile,Básico,2023-08-16
542,Redes Sociales,2024-06-25,2024-07-04,980.95,1011,-1,3,157.0,,,,61.0,M,España,Premium,2022-08-21
544,Redes Sociales,2024-06-27,2024-07-06,1654.53,1856,14,4,365.0,Instagram Ads,500.0,Equipo C,,,,,
546,SEO,2024-06-29,2024-07-08,2675.96,188,-1,2,595.0,Facebook Ads,0.5,Equipo B,52.0,F,Colombia,Básico,2023-04-17
547,Email,2024-06-30,2024-07-09,4126.97,1766,117,5,352.0,,,,51.0,F,México,Básico,2022-01-08
548,SEO,2024-07-01,2024-07-10,2976.02,991,54,1,394.0,Email,0.1,Equipo A,,,,,
549,Redes Sociales,2024-07-02,2024-07-11,695.36,591,16,2,257.0,Facebook Ads,0.5,Equipo B,,,,,
551,Email,2024-07-04,2024-07-13,4781.32,1305,-1,4,166.0,Instagram Ads,500.0,Equipo C,49.0,M,Argentina,Básico,2022-12-26
552,SEO,2024-07-05,2024-07-14,3207.25,707,158,4,398.0,Instagram Ads,500.0,Equipo C,42.0,M,Argentina,Básico,2022-09-22
553,Email,2024-07-06,2024-07-15,4186.35,484,116,3,562.0,,,,33.0,M,México,Básico,2022-07-28
554,SEO,2024-07-07,2024-07-16,4478.93,433,82,1,200.0,Email,0.1,Equipo A,26.0,M,Argentina,Básico,2022-09-03
555,Email,2024-07-08,2024-07-17,1526.36,609,173,3,155.0,,,,,,,,
556,SEO,2024-07-09,2024-07-18,1454.2,243,-1,6,431.0,Influencers,1.2,Equipo D,60.0,F,Colombia,Premium,2023-04-07
557,SEO,2024-07-10,2024-07-19,3249.41,1809,125,1,492.0,Email,0.1,Equipo A,22.0,M,España,Premium,2023-09-06
558,Redes Sociales,2024-07-11,2024-07-20,2349.63,1721,27,2,480.0,Facebook Ads,0.5,Equipo B,36.0,M,Argentina,Premium,2023-04-09
559,SEO,2024-07-12,2024-07-21,4279.38,583,175,3,191.0,,,,51.0,M,Chile,Premium,2022-11-26
